error inconsistency discrepancy 
errors inconsistencies discrepancies 

depicting portraying characterizing 
depiction portrayal characterization 

Detroit MI DETROIT 
Miami FL MIAMI 

legendary legends Legend 
iconic icons Icon 

chorus chant hymn 
choruses chants hymns 

pictures photographs photograph 
pics photos photo 

Azerbaijani Baku Azeris 
Chechen Grozny Chechens 

pounds inches ounces 
pound inch ounce 

appreciate admire applaud 
resent despise decry 

generated sparked ignited 
generating sparking igniting 

references referenced referencing 
quotes quoted quoting 

mining farming forestry 
Mining Farming Forestry 

pay paying pays 
receive receiving receives 

say suggest indicate 
says suggests indicates 

cautious enthusiastic eager 
cautiously enthusiastically eagerly 

eagle crow swan 
eagles crows swans 

detained jailed prosecuted 
detaining jailing prosecuting 

partner partners partnership 
Partner Partners Partnership 

bag container lid 
bags containers lids 

eliminated eliminate eliminating 
minimized minimize minimizing 

apprentice carpenter electrician 
apprentices carpenters electricians 

techniques technique therapy 
Techniques Technique Therapy 

represent represents representing 
demonstrate demonstrates demonstrating 

argued insisted conceded 
argue insist concede 

music musicians singers 
Music Musicians Singers 

drama Drama dramas 
comedy Comedy comedies 

chief executive vice-president 
Chief Executive Vice-President 

thieves liars traitors 
thief liar traitor 

must shall shouldn 
Must Shall Shouldn 

man men Men 
gentleman gentlemen Gentlemen 

entrepreneur Entrepreneur Entrepreneurs 
educator Educator Educators 

regional municipal governmental 
Regional Municipal Governmental 

grant fellowship Fellowship 
grants fellowships Fellowships 

