
 pipe pipes
 triangle triangles
 arc arcs
 contour contours
 border borders

 polymer polymers
 polyester polyesters
 elastomer elastomers
 material materials
 polyolefin polyolefins
 copolymer copolymers

 alkoxide alkoxides
 oxide oxides
 silicate silicates
 salt salts
 halide halides

 lcd lcds
 anode cathodes
 led leds
 diode diodes

 immunoassay immunoassays
 blot blots
 kit kits

 explosive explosives
 gun guns
 projectile projectiles
 firearm firearms
 tracer tracers

 pattern patterns
 mask masks

 infant infants
 fetus fetuses
 aneuploidy aneuploidies
 woman women


 by-product by-products
 pesticide pesticides
 activator activators
 reactant reactants
 oxidizer oxidizers
 vaporized vapors
 peroxy peroxides
 stream streams
 etchant etchants
 condensate condensates
 fungicide fungicides
 byproduct byproducts
 contaminant contaminants
 inducer inducers
 electrolyte electrolytes
 gas gases
 scavenger oxidants
 feedstock feedstocks
 insecticide insecticides
 sorbent sorbents
 atmosphere atmospheres
 biodiesel fuels
 plasma plasmas
 herbicide herbicides
 impurity impurities
 hydrate hydrates


 linkage linkages
 residue residues
 atom atoms
 substituent substituents
 moiety moieties
 radical radicals
 bond bonds
 linker linkers
 heteroatom heteroatoms

 version versions
 installation installations
 enhancement enhancements
 subscription subscriptions
 upgrade upgrades
 update updates

 dimension dimensions
 distance distances
 height heights
 width widths
 pitch pitches
 spacing spacings
 diameter diameters
 length lengths
 size sizes
 depth depths

 variance variances
 percentage percentages
 deviation deviations
 setpoint setpoints
 constraint constraints
 limit limits
 tradeoff trade-offs
 estimate estimates
 variable variables
 gain gains
 range ranges
 flux fluxes
 average averages
 assumption assumptions
 difference differences
 calculated computed
 uncertainty uncertainties
 shift shifts
 fraction fractions
 gradient gradients
 offset offsets
 predicted predictions
 distribution distributions
 constant constants
 contribution contributions

 transient transients
 ripple ripples
 potential potentials
 stimulus stimuli
 imbalance imbalances
 spike spikes
 fluctuation fluctuations
 perturbation perturbations
 transition transitions
 behavior behaviors
 phenomenon phenomena
 echo echoes
 impairment impairments
 polarity polarities
 neuron neurons
 seizure seizures
 influence influences

 cooler coolers
 evaporator evaporators
 heater heaters
 oven ovens
 lamp lamps
 condenser condensers
 bath baths
 furnace furnaces
 conditioner conditioners
 bulb bulbs
 boiler boilers
 cleaner cleaners
 radiator radiators
 thermostat thermostats
 refrigerator refrigerators
 thermistor thermistors
 thermocouple thermocouples

 microrna micrornas
 cardiomyocyte cardiomyocytes
 oncogene oncogenes
 pathway pathways
 subtype subtypes
 rtk rtks
 mmp mmps
 integrin integrins
 glioma gliomas
 lineage lineages
 mirna mirnas
 subpopulation subpopulations
 gpcr gpcrs
 autoantibody autoantibodies
 t-cell t-cells
 lymphocyte lymphocytes
 cytokine cytokines
 kinase kinases
 isoform isoforms
 receptor receptors
 chemokine chemokines

 resin resins
 rubber rubbers

 bit bits
 character characters
 pointer pointers
 byte bytes
 string strings
 prefix prefixes
 field fields
 entry entries
 delimiter delimiters
 digit digits
 asterisk asterisks
 symbol symbols
 subscript subscripts

 liquid liquids

 mass masses
 clutch clutches
 translation translations
 rotation rotations
 vibrator vibrators
 torque torques
 mover movers
 displacement displacements
 tension tensions
 camshaft camshafts
 diaphragm diaphragms
 damper dampers
 motion motions
 load loads
 posture postures
 thruster thrusters
