he his father's 

pushing rushing crashing 
pushes rushes crashes 

pushing flashing flapping 
pushes flashes flaps 

pushing washing flashing 
pushes washes flashes 

pushing blowing bowing 
pushes blows bows 

hispanic filipinos xhosa 
spanish-language leonese lingua 

proposal suggestion notion 
proposals suggestions notions 

toad hedgehog raccoon 
toads hedgehogs raccoons 

warmer colder hotter 
warmest coldest hottest 

warmer warmest warms 
colder coldest colds 

warmer hotter wetter 
warmest hottest wettest 

warmer drier wetter 
warmest driest wettest 

floating float floats 
boating boat boats 

floating coating squeezing 
floated coated squeezed 

floating pumping squeezing 
floated pumped squeezed 

rescued rescues rescuing 
chased chases chasing 

rescued drowned downed 
rescuing drowning downing 

rescued disguised cried 
rescues disguises cries 

conclusion inclusion exclusion 
conclude include exclude 

conclusion inclusion exclusion 
concluding including excluding 

conclusion inclusion exclusion 
concludes includes excludes 

conclusion conclude concludes 
exclusion exclude excludes 

conclusion concludes concluding 
exclusion excludes excluding 

conclusion illusion illustration 
conclusions illusions illustrations 

conclusion consequence circumstance 
conclusions consequences circumstances 

glacier stratovolcano geyser 
glaciers volcanoes geysers 

ballad duet dance-pop 
ballads duets dances 

calculations calculation calculators 
computations computation computers 

calculations calculating calculators 
computations computing computers 

calculations logarithms axioms 
calculation logarithm axiom 

eruptions explosions collisions 
erupted exploded collided 

mansion manor lodge 
mansions manors lodges 

mansion pension adjustment 
mansions pensions adjustments 

jurisdiction jurisdictions obligations 
conviction convictions allegations 

jurisdiction jurisdictions juris 
prosecution prosecutions prosecutor 

jurisdiction conviction prosecution 
jurisdictions convictions prosecutions 

jurisdiction obligation negotiation 
jurisdictions obligations negotiations 

jurisdiction prosecution tribunal 
jurisdictions prosecutions tribunals 

jurisdiction statute violation 
jurisdictions statutes violations 

backing packing sucking 
backed packed sucked 

backing lacking packing 
backed lacked packed 

backing cracking sucking 
backed cracked sucked 

backing picking knocking 
backed picked knocked 

backing tracking cracking 
backed tracked cracked 

backing knocking wrecking 
backed knocked wrecked 

backing backed backs 
packing packed packs 

backing backed backs 
lacking lacked lacks 

seeking encouraging adopting 
seeks encourages adopts 

consumption consumed consuming 
assumption assumed assuming 

contracts contracted contracting 
contrasts contrasted contrasting 

contracts contraction contractor 
tracts traction tractor 

contracts tracts extracts 
contraction traction extraction 

contracts contrasts emphasizes 
contracted contrasted emphasized 

witches switches pitches 
bewitched switched pitched 

mood emotion notion 
moods emotions notions 

biography cinematography cartography 
biographer cinematographer cartographer 

biography choreography cinematography 
biographer choreographer cinematographer 

shaft axle brake 
shafts axles brakes 

shaft coil axle 
shafts coils axles 

reduction deduction bijection 
reductions deductions objections 

conversion conversation revelation 
conversions conversations revelations 

fraction exponent coefficient 
fractions exponents coefficients 

fraction contraction transaction 
fractions contractions transactions 

psychologist sociologist anthropologist 
psychologists sociologists anthropologists 

psychologist psychiatrist therapist 
psychologists psychiatrists therapists 

psychologist anthropologist paleontologist 
psychologists anthropologists palaeontologists 

psychologist paleontologist geologist 
psychologists palaeontologists geologists 

organize organizing organizers 
organise organising organisers 

squid squirrel raccoon 
squids squirrels raccoons 

choosing deciding agreeing 
chooses decides agrees 

scared feared betrayed 
scare fears betrays 

stretched stretching stretches 
touched touching touches 

stretched touched washed 
stretches touches washes 

stretched touched sucked 
stretching touching sucking 

specialist dentist therapist 
specialists dentists therapists 

celebrations weddings greetings 
celebrating wedding greeting 

touches touched touching 
stretches stretched stretching 

touches pushes rushes 
touching pushing rushing 

touches washes sprays 
touched washed sprayed 

touches catches hatches 
touching catching hatching 

siberia iberia assyria 
siberian iberian assyrian 

siberia liberia iberia 
siberian liberian iberian 

siberia eurasia australasia 
siberian eurasian australasian 

touched sucked plucked 
touching sucking plucking 

tchaikovsky stravinsky mussorgsky 
tchaikovsky's stravinsky's mussorgsky's 

tchaikovsky diaghilev mussorgsky 
tchaikovsky's diaghilev's mussorgsky's 

reconstruction renovation refurbishment 
reconstructed renovated refurbished 

reconstruction demolition renovation 
reconstructed demolished renovated 

jumps kicks punches 
jumped kicked punched 

jumps knocks stacks 
jumped knocked stacked 

violinist soloist cellist 
violinists soloists cellists 

counter countered counters 
encounter encountered encounters 

flavor flavored savory 
flavour flavoured savoury 

export exports exported 
import imports imported 

export exported exporting 
import imported importing 

export import commodity 
exports imports commodities 

export import impose 
exporting importing imposing 

thunderstorms typhoons blizzards 
thunderstorm typhoon blizzard 

inauguration commemoration consecration 
inaugurated commemorated consecrated 

yankees dodgers marlins 
yankee dodger marlin 

sorts sorted sorting 
imports imported importing 

sorts imports extracts 
sorted imported extracted 

boarding guarding awarding 
boarded guarded awarded 

fabric ceramic cosmetic 
fabrics ceramics cosmetics 

knocked knock knocks 
kicked kick kicks 

knocked mocked sucked 
knocking mocking sucking 

knocked knocking knocks 
kicked kicking kicks 

knocked knocking knocks 
shocked shocking shocks 

knocked knocking knocks 
grabbed grabbing grabs 

knocked knocking knocks 
jumped jumping jumps 

knocked kicked tricked 
knock kick trick 

knocked kicked tricked 
knocks kicks tricks 

knocked kicked mocked 
knocking kicking mocking 

knocked sucked plucked 
knocking sucking plucking 

knocked shocked mocked 
knocking shocking mocking 

knocked grabbed sucked 
knocking grabbing sucking 

knocked wrecked sucked 
knocking wrecking sucking 

configuration implementation computation 
configurations implementations computations 

swamp bog geyser 
swamps bogs geysers 

procedure requirement accommodation 
procedures requirements accommodations 

pastor preacher nun 
pastors preachers nuns 

immigrant migrant emigrant 
immigrated migrated emigrated 

immigrant settler emigrant 
immigrated settled emigrated 

reformation reforming reformers 
transformation transforming transformers 

reformation reformer reformers 
transformation transformer transformers 

substitute substitution substitutes 
prostitute prostitution prostitutes 

crocodiles giraffes tortoises 
crocodile giraffe tortoise 

node diode electrode 
nodes diodes electrodes 

filling frying topping 
fillings dumplings toppings 

south-west southward southerly 
east-west eastward easterly 

feminist feminism feminists 
anarchist anarchism anarchists 

feminist zionist calvinist 
feminism zionism calvinism 

feminist abolitionist loyalist 
feminists abolitionists loyalists 

feminist anarchist extremist 
feminists anarchists extremists 

feminist anarchist marxist 
feminism anarchism marxism 

feminist marxist zionist 
feminism marxism zionism 

feminist unionist abolitionist 
feminists unionists abolitionists 

feminist surrealist realist 
feminism surrealism realism 

cylinder coil axle 
cylinders coils axles 

kangaroo cockatoo giraffe 
kangaroos cockatoos giraffes 

kangaroo raccoon gecko 
kangaroos raccoons geckos 

elevated renovated excavated 
elevations renovations excavations 

pistol shotgun handgun 
pistols shotguns handguns 

washed brushed nailed 
washes brushes nails 

washed rushed brushed 
washes rushes brushes 

washed rushed smashed 
washing rushing smashing 

washed crushed rushed 
washing crushing rushing 

washed washing washes 
rushed rushing rushes 

examination examine examining 
determination determine determining 

examination examined examining 
determination determined determining 

examination assessment commitment 
examinations assessments commitments 

locks knocks punches 
locking knocking punching 

regulation regulates regulating 
violation violates violating 

regulation regulated regulating 
stimulation stimulated stimulating 

regulation regulated regulates 
violation violated violates 

regulation stimulation penetration 
regulating stimulating penetrating 

regulation stimulation manipulation 
regulated stimulated manipulated 

regulation manipulation formulation 
regulated manipulated formulated 

regulation insulation stimulation 
regulated insulated stimulated 

regulation simulation stimulation 
regulated simulated stimulated 

regulation inflation stimulation 
regulated inflated stimulated 

regulation speculation manipulation 
regulated speculated manipulated 

regulation violation litigation 
regulating violating mitigating 

regulation violation prosecution 
regulated violated prosecuted 

restrictions violations obligations 
restriction violation obligation 

restrictions jurisdictions statutes 
restriction jurisdiction statute 

apostles gospels bibles 
apostle gospel bible 

apostles disciples preachers 
apostle disciple preacher 

defendant prosecutor juror 
defendants prosecutors jurors 

bedford milford hertford 
bedfordshire wiltshire hertfordshire 

bedford chelmsford hertford 
bedfordshire cheshire hertfordshire 

bedford southampton hertford 
bedfordshire northamptonshire hertfordshire 

impressed impressive impression 
oppressed oppressive oppression 

impressed pressed suppressed 
impress press suppress 

impressed compressed suppressed 
impression compression suppression 

impressed suppressed oppressed 
impression suppression oppression 

grams kilograms litres 
gram kilogram litre 

filter cleaner sewer 
filters cleaners sewers 

biologists geologists geographers 
biologically geologically geographically 

tram wagon trailer 
trams wagons trailers 

banking lobbying counseling 
banker lobbyist counselor 

expect expecting expects 
intend intending intends 

reflected reflections reflective 
objected objections objective 

reflected objected ejected 
reflective objective ejective 

socialism liberalism anarchism 
socialists liberals anarchists 

socialism nationalism liberalism 
socialists nationalists liberals 

socialism capitalism anarchism 
socialists capitalists anarchists 

socialism fascism anarchism 
socialists fascists anarchists 

receiver reception interception 
receivers receptions interceptions 

assisted insisted resisted 
assists insists resists 

assisted recruited waited 
assisting recruiting waiting 

permitted enforced violated 
permitting enforcing violating 

shifted drifted exited 
shifting drifting exiting 

toes necks ankles 
toe neck ankle 

bitter ritter glitter 
bitten britten kitten 

photon proton boson 
photons protons bosons 

delegates delegate delegation 
legislatures legislator legislation 

delegates legislatures congresses 
delegate legislator congressman 

loaded uploaded reloaded 
loading uploading reloading 

loaded downloaded uploaded 
loading downloading uploading 

needle paddle axle 
needles paddles axles 

needle bundle paddle 
needles bundles paddles 

somalia tunisia namibia 
somali tunisian namibian 

somalia uganda rwanda 
somali ugandan rwandan 

racism fascism marxism 
racist fascist marxist 

racism anarchism zionism 
racist anarchist zionist 

trademark trademarked trademarks 
remark remarked remarks 

trademark merchandise trademarks 
trader merchants traders 

expanding expands expansions 
extending extends extensions 

expanding extending tending 
expands extends tends 

presentation implementation computation 
presentations implementations computations 

presentation imitation temptation 
presentations limitations temptations 

archaeologists palaeontologists sociologists 
archaeology palaeontology sociology 

archaeologists geologists anthropologists 
archaeologist geologist anthropologist 

archaeologists geologists paleontologists 
archaeology geology paleontology 

archaeologists archaeology archaean 
palaeontologists palaeontology palaeozoic 

archaeologists archaeology archaeologist 
geologists geology geologist 

archaeologists archaeology archaeologist 
paleontologists paleontology paleontologist 

archaeologists archaeology archaeologist 
anthropologists anthropology anthropologist 

archaeologists paleontologists botanists 
archaeologist paleontologist botanist 

archaeologists paleontologists anthropologists 
archaeology paleontology anthropology 

archaeologists anthropologists sociologists 
archaeologist anthropologist sociologist 

archaeologists anthropologists palaeontologists 
archaeology anthropology palaeontology 

archaeologists sociologists botanists 
archaeologist sociologist botanist 

feared cleared stared 
fearing clearing staring 

feared cared annoyed 
fearing caring annoying 

tunisia namibia zambia 
tunisian namibian zambian 

gandhi bharat bharatiya 
sindhi gujarat gujarati 

colorless coloring coloration 
colourless colouring colouration 

angola uganda rwanda 
angolan ugandan rwandan 

partition petition ambition 
partitions petitions ambitions 

revived revive reviving 
revolved revolve revolving 

revived revive reviving 
thrived thrive thriving 

wasps caterpillars tadpoles 
wasp caterpillar tadpole 

quoted quotation quotations 
interpreted interpretation interpretations 

elimination eliminate eliminating 
domination dominate dominating 

elimination domination termination 
eliminating dominating terminating 

elimination domination termination 
eliminate dominate terminate 

dale hale lyle 
daley haley hayley 

monitor indicator insulator 
monitors indicators insulators 

eternal maternal fraternal 
eternity maternity fraternity 

advertisements blogs notebooks 
advertisement blog notebook 

optional exceptional intentional 
optionally exceptionally intentionally 

questioned answered wondered 
questioning answering wondering 

strauss mahler mussorgsky 
strauss's mahler's mussorgsky's 

strauss stravinsky mussorgsky 
strauss's stravinsky's mussorgsky's 

demonstration frustration castration 
demonstrated frustrated castrated 

demonstration illustration depiction 
demonstrations illustrations depictions 

employment enjoyment encouragement 
employing enjoying encouraging 

refuses promises persuades 
refuse promise persuade 

consequences conclusions illusions 
consequence conclusion illusion 

narrator narrated narration 
illustrator illustrated illustration 

linguistics linguistic linguists 
logistics logistic biologists 

linguistics logistics cybernetics 
linguistic logistic analytic 

linguistics anthropology palaeontology 
linguists anthropologists palaeontologists 

gaga beyonce rihanna 
gaga's beyonce's rihanna's 

gaga rihanna aaliyah 
gaga's rihanna's aaliyah's 

volunteer recruit enlist 
volunteered recruited enlisted 

catalan corsican sardinian 
catalonia corsica sardinia 

senses sensibility sensible 
responses responsibility responsible 

addressed pressed suppressed 
addressing pressing suppression 

guided raided battled 
guiding raiding battling 

reporting investigating investing 
reporters investigators investors 

healing revealing realizing 
heals reveals realizes 

healing healed heals 
revealing revealed reveals 

escapes rescues kidnaps 
escaping rescuing kidnapping 

escapes chases flees 
escaping chasing fleeing 

ashes rushes brushes 
unleashed rushed brushed 

investigated investigate investigator 
examined examine examiner 

investigated investigators investigator 
invested investors investor 

investigated invested financed 
investigator investor financier 

investigated examined testified 
investigate examine testify 

handling smuggling supplying 
handlers dealers suppliers 

eminem rihanna aaliyah 
eminem's rihanna's aaliyah's 

eminem beyonce rihanna 
eminem's beyonce's rihanna's 

washing crashing flashing 
washes crashes flashes 

washing rushing crashing 
washes rushes crashes 

shirt outfit skirt 
shirts outfits skirts 

shirt shoe glove 
shirts shoes gloves 

tricks kicks knocks 
tricked kicked knocked 

tricks knocks stacks 
tricked knocked stacked 

tricks picks kicks 
tricked picked kicked 

lifted drifted exited 
lifting drifting exiting 

lifted lifts lifting 
exited exits exiting 

lifted jumped pumped 
lifting jumping pumping 

lifted exited floated 
lifting exiting floating 

tenor soloist cellist 
tenors soloists cellists 

reveals steals kidnaps 
revealing stealing kidnapping 

traders merchants craftsmen 
trademarks merchandise handicrafts 

traders travelers travellers 
trader traveler traveller 

denominations doctrines faiths 
denomination doctrine faith 

ecological zoological topological 
ecology zoology topology 

ecological cosmological topological 
ecology cosmology topology 

ecological morphological topological 
ecology morphology topology 

ecological morphological astrological 
economical anatomical astronomical 

ecological epidemiological topological 
ecology epidemiology topology 

ecological neurological epidemiological 
ecology neurology epidemiology 

ecological physiological neurological 
ecology physiology neurology 

ecological geophysical metaphysical 
ecology biophysics metaphysics 

competitors spectators dictators 
competitor spectator dictator 

probe spaceship lifeboat 
probes spaceships lifeboats 

picks kicks knocks 
picking kicking knocking 

picks knocks leaps 
picking knocking leaping 

sociology anthropology paleontology 
sociologist anthropologist paleontologist 

sociology zoology paleontology 
sociologist zoologist paleontologist 

sociology microbiology neurology 
sociologist microbiologist neurologist 

sociology sociologist sociologists 
anthropology anthropologist anthropologists 

catching catches catcher 
pitching pitches pitcher 

catching rushing crashing 
catches rushes crashes 

catching matching hatching 
catches matches hatches 

buck bucket blanket 
bucks buckets blankets 

demonstrated protested revolted 
demonstrates protests revolts 

float flip wrapper 
floated flipped wrapped 

wrapped wrapping wrapper 
rapped rapping rapper 

wrapped rubbed squeezed 
wrapping rubbing squeezing 

wrapped mapped rapped 
wrapping mapping rapping 

salary wage adjustment 
salaries wages adjustments 

climbed climbs climber 
jumped jumps jumper 

rotating rotate rotor 
accelerating accelerate accelerator 

rotating rotated rotor 
accelerating accelerated accelerator 

estuary lagoon waterway 
estuaries lagoons waterways 

imported exported ported 
imports exports ports 

imported exported ported 
import export port 

imported imports importing 
exported exports exporting 

imported imports importing 
sorted sorts sorting 

imported imports importing 
transported transports transporting 

imported import imports 
exported export exports 

imported import imports 
ported port ports 

imported importing imposing 
exported exporting exposing 

imported transported ported 
imports transports ports 

imported transported exported 
importing transporting exporting 

neurons ventricles follicles 
neuron ventricle follicle 

altar ceiling pavilion 
altars ceilings pavilions 

respond responds responding 
correspond corresponds corresponding 

respond responded responds 
correspond correspondent corresponds 

cambodia namibia zambia 
cambodian namibian zambian 

pulling bending tending 
pulls bends tends 

motorway tramway walkway 
motorways tramways walkways 

motorway freeway walkway 
motorways freeways walkways 

warships battleships cruisers 
warship battleship cruiser 

warships fleets lifeboats 
warship fleet lifeboat 

warships cruisers squadrons 
warship cruiser squadron 

warships lifeboats wrecks 
warship lifeboat wreck 

warships squadrons squads 
warship squadron squad 

mali bali kali 
mala bala kala 

tracking cracking sucking 
tracked cracked sucked 

tracking packing sucking 
tracked packed sucked 

tracking tracked tracker 
cracking cracked cracker 

tracking lacking packing 
tracked lacked packed 

exciting exposing imposing 
excited exposed imposed 

exciting entertaining entertain 
exiting entering enter 

calculus analytic non-euclidean 
calculating analyzing non-linear 

emigrated immigrated deported 
emigration immigration deportation 

emigrated emigrate emigrant 
migrated migrate migrant 

emigrated migrated immigrated 
emigrant migrant immigrant 

emigrated migrated immigrated 
emigrants migrants immigrants 

emigrated migrated immigrated 
emigration migration immigration 

emigrated emigrants emigrant 
migrated migrants migrant 

emigrated emigration emigrant 
immigrated immigration immigrant 

emigrated emigration emigrate 
migrated migration migrate 

emigrated annexed exclave 
emigration annexation exclamation 

emigrated assimilated manipulated 
emigration assimilation manipulation 

annexed proclaimed reclaimed 
annexation proclamation reclamation 

accepts acceptance accepting 
rejects rejection rejecting 

sandwich slice doughnut 
sandwiches slices doughnuts 

tends tended tending 
intends intended intending 

tends tender tended 
blends blender blended 

marched marches marchers 
arched arches archers 

marched retreated seized 
marching retreating seizing 

marched raided beheaded 
marching raiding beheading 

congressman congresses congress's 
legislator legislatures legislation 

qualification unification qualifications 
certification fortification certifications 

qualification certification fortification 
qualifications certifications fortifications 

qualification certification certifications 
unification fortification fortifications 

qualification specification duplication 
qualifications specifications implications 

qualification modification specification 
qualifications modifications specifications 

drowned wrecked sucked 
drowning wrecking sucking 

inflation stimulation manipulation 
inflated stimulated manipulated 

inflation insulation stimulation 
inflated insulated stimulated 

inflation accumulation formulation 
inflated accumulated formulated 

tears hears fears 
tearing hearing fearing 

exponent logarithm axiom 
exponents logarithms axioms 

conversation revelation notion 
conversations revelations notions 

conversation sensation sensor 
conversations sensations sensors 

assets commodities accommodations 
asset commodity accommodation 

assets assessments commitments 
asset assessment commitment 

acceleration accelerating accelerates 
vibration vibrating vibrates 

acceleration vibration penetration 
accelerating vibrating penetrating 

acceleration ionization polarization 
accelerated ionized polarized 

feminism atheism anarchism 
feminists atheists anarchists 

shepherd herd pheasant 
shepherds herds pheasants 

meditation imitation improvisation 
meditate imitate improvise 

retain regain attain 
retained regained attained 

initiative innovative motive 
initiation innovation motivation 

initiative cooperative operative 
initiated cooperated operated 

crushed rushed smashed 
crushing rushing smashing 

crushed crush crushing 
rushed rush rushing 

transported transporting transposing 
exported exporting exposing 

perception interception inning 
perceptions interceptions innings 

perception perceived perceptions 
reception received receptions 

perception emotion notion 
perceptions emotions notions 

perception reception interception 
perceptions receptions interceptions 

perception notion caution 
perceptions notions precautions 

ghana zambia mozambique 
ghanaian zambian mozambican 

ghana namibia zambia 
ghanaian namibian zambian 

ceiling carving engraving 
ceilings carvings engravings 

intention intent intentions 
intervention intervene interventions 

intention intervention violation 
intentions interventions violations 

pigment dye perfume 
pigments dyes perfumes 

pigment texture pasture 
pigments textures pastures 

generator capacitor insulator 
generators capacitors insulators 

generator insulator resistor 
generators insulators resistors 

proclaimed proclamation secession 
reclaimed reclamation recession 

compromise negotiate initiate 
compromised negotiated initiated 

traps trapping sucking 
raps rapping fucking 

traps wraps flaps 
trapping wrapping flapping 

westward west-northwest westwards 
southward southwest southwards 

westward outward inward 
eastwards outwards inwards 

scandinavia faroe frisia 
scandinavian faroese frisian 

admired appreciated fascinated 
admiration appreciation fascination 

admired fascinated vaccinated 
admiration fascination vaccination 

veins ventricles follicles 
vein ventricle follicle 

veins arteries capillaries 
vein artery capillary 

owl leopard giraffe 
owls leopards giraffes 

deleted delete deleting 
uploaded upload uploading 

deleted uploaded reloaded 
deleting uploading reloading 

coordinate coordinated coordination 
evaluate evaluated evaluation 

coordinate evaluate verify 
coordinated evaluated verified 

coordinate evaluate validate 
coordination evaluation validation 

mesopotamia babylonia akkad 
mesopotamian babylonian akkadian 

1880s 1850s 1860s 
80s 50s 60s 

dynamic thermodynamic aerodynamic 
dynamics thermodynamics aerodynamics 

beyonce rihanna aaliyah 
beyonce's rihanna's aaliyah's 

nationalism fascism anarchism 
nationalists fascists anarchists 

nationalism capitalism anarchism 
nationalists capitalists anarchists 

resurrection crucifixion martyrdom 
resurrected crucified martyred 

resurrection erection correction 
resurrected erected corrected 

nails sails wrecks 
nailed sailed wrecked 

demolished renovated refurbished 
demolition renovation refurbishment 

negotiations obligations notions 
negotiation obligation notion 

negotiations allegations obligations 
negotiation delegation obligation 

keyboards trumpets clarinets 
keyboardist trumpeter clarinetist 

ordained consecrated crucified 
priesthood consecration crucifixion 

ruined ruin ruining 
mined mine mining 

ruined mined refined 
ruining mining refining 

blessed blessing blessings 
prayed praying prayers 

retreated seized raided 
retreating seizing raiding 

retreated raided beheaded 
retreating raiding beheading 

proportion proposition bijection 
proportions propositions objections 

colorful coloring coloration 
colourful colouring colouration 

accessible accessing accessibility 
sensible sensing sensibility 

responded responds responding 
correspondent corresponds corresponding 

responded replied implied 
responds replies implies 

elevator insulator resistor 
elevators insulators resistors 

elevator spectator gladiator 
elevators spectators gladiators 

shocked mocked sucked 
shocking mocking sucking 

shocked shouted begged 
shocking shouting begging 

shocked kicked mocked 
shocking kicking mocking 

capitalism capitalist capitalists 
anarchism anarchist anarchists 

capitalism anarchism zionism 
capitalist anarchist zionist 

capitalism realism modernism 
capitalization realization modernization 

arteries ventricles follicles 
artery ventricle follicle 

consultant consultants consultation 
accountant accountants accountability 

consultant consul appoint 
consultants consuls appointments 

astronaut meteorologist astrologer 
astronautical meteorological astrological 

bubbles pebbles marbles 
bubble pebble marble 

sweat swell vomit 
sweating swelling vomiting 

expressions expressionism expressive 
impressions impressionism impressive 

expressions expressive expressionist 
impressions impressive impressionist 

expressions impressions processions 
expressing pressing processing 

expressions impressions depressions 
expressive impressive depressive 

expressions impressions passions 
expressionist impressionist passionate 

evacuation evacuated evacuations 
renovation renovated renovations 

evacuation renovation refurbishment 
evacuated renovated refurbished 

evacuation relocation affiliation 
evacuated relocated affiliated 

dictatorship fascism anarchism 
dictators fascists anarchists 

complained complaints complaining 
criticised criticisms criticizing 

complained criticised commented 
complaining criticizing commenting 

consonants syllables morphemes 
consonant syllable morpheme 

consonants pronouns adverbs 
consonant pronoun adverb 

consonants phonemes morphemes 
consonant phoneme morpheme 

marx marxist marxism 
socialite socialist socialism 

marx socialite societe 
marxism socialism societies 

twist fist wrist 
twists fists wrists 

implemented implement implements 
supplemented supplement supplements 

implemented supplemented cemented 
implement supplement cement 

interactions simulations simulated 
fractions calculations calculated 

recipe cookie noodle 
recipes cookies noodles 

herd pheasant raccoon 
herds pheasants raccoons 

kilogram centimeter millimeter 
kilograms centimetres millimetres 

kilogram litre calorie 
kilograms litres calories 

criticised criticisms criticizing 
commented comments commenting 

criticised commented interviewed 
criticisms comments interviews 

criticised commented reviewed 
criticizing commenting reviewing 

merge merging merges 
emerge emerging emerges 

merge emerge urge 
merges emerges urges 

impressive impressions impressionism 
expressive expressions expressionism 

impressive impression impressions 
expressive expression expressions 

impressive impression impressions 
depressive depression depressions 

impressive impressionist impressions 
expressive expressionist expressions 

impressive expressive reflective 
impressions expressions reflections 

impressive expressive oppressive 
impression expression oppression 

impressive expressive reflective 
impressionism expressionism reflection 

impressive depressive oppressive 
impression depression oppression 

impressive recessive oppressive 
impression recession oppression 

eurasia eurasian caucasian 
australasia australasian austronesian 

eurasia australasia polynesia 
eurasian australasian polynesian 

elbow heel ankle 
elbows heels ankles 

farthest brightest lightest 
perihelion brightness lightness 

adjective objective directive 
adjectives objectives directives 

adjective consonant semitone 
adjectives consonants semitones 

batting battling raiding 
batted battled raided 

fascist fascism fascists 
anarchist anarchism anarchists 

fascist anarchist extremist 
fascists anarchists extremists 

fascist anarchist marxist 
fascism anarchism marxism 

fascist extremist fundamentalist 
fascists extremists fundamentalists 

fascist marxist zionist 
fascism marxism zionism 

fascist zionist calvinist 
fascism zionism calvinism 

reversed proceeded exceeded 
reversing proceeding exceeding 

dye perfume nutmeg 
dyes perfumes legumes 

conservatives liberals anarchists 
conservatism liberalism anarchism 

statute statutory statutes 
constitute constituting constitutes 

southernmost northernmost easternmost 
southerly northerly easterly 

southernmost easternmost westernmost 
southerly easterly westerly 

southernmost south-central southerly 
northernmost north-central northerly 

salad sausage noodle 
salads sausages noodles 

salad dessert noodle 
salads desserts noodles 

salad snack noodle 
salads snacks noodles 

northernmost easternmost westernmost 
northerly easterly westerly 

northernmost northerly northwards 
easternmost easterly eastward 

northernmost northerly northerners 
westernmost westerly westerners 

ribbon badge gadget 
ribbons badges gadgets 

foreigners diplomats embassies 
foreigner diplomat embassy 

foreigners ambassadors advisers 
foreigner ambassador adviser 

objective objectives objections 
directive directives directions 

objective subjective reflective 
objected subjected reflected 

objective objected objections 
reflective reflected reflections 

objective objected objections 
selective selected selections 

objective selective reflective 
objections selections reflections 

wetlands lowlands uplands 
wetland lowland upland 

wetlands grasslands woodlands 
wetland grassland woodland 

wetlands uplands homelands 
wetland upland homeland 

wetlands woodlands badlands 
wetland woodland headland 

spd csu boehner 
gorbachev nikita kaczynski 

nationale nationals nationally 
internationale internationals internationally 

invaders invading invader 
attackers attacking attacker 

invaders attackers hackers 
invader attacker hacker 

filmmaker filmmakers filmmaking 
animator animators animation 

filmmaker cinematographer cartographer 
filmmaking cinematography cartography 

filmmaker animator cinematographer 
filmmaking animation cinematography 

filmmaker printmaker cartographer 
filmmaking printmaking cartography 

handel mahler mussorgsky 
handel's mahler's mussorgsky's 

answered wondered wandered 
answering wondering wandering 

vacation relocation affiliation 
vacated relocated affiliated 

defenders defences defenses 
offenders offences offenses 

identification modification specification 
identifying modifying specifying 

contributor contributors not-for-profit 
distributor distributors subsidiaries 

contributor contributing contributors 
distributor distributing distributors 

contributor distributor subscriber 
contributors distributors subscribers 

evacuated renovated excavated 
evacuations renovations excavations 

congregation delegation negotiation 
congregations allegations negotiations 

pedal octave semitone 
pedals octaves semitones 

booth saddle paddle 
booths saddles paddles 

pressed guessed stressed 
presses guesses stresses 

pressed progressed stressed 
presses progresses stresses 

reception interception inning 
receptions interceptions innings 

seized raided battled 
seizing raiding battling 

worshipped shipped whipped 
worshipping shipping whipping 

kicked mocked sucked 
kicking mocking sucking 

kicked sucked plucked 
kicking sucking plucking 

kicked kicks kicking 
grabbed grabs grabbing 

kicked grabbed sucked 
kicking grabbing sucking 

kicked stabbed grabbed 
kicking stabbing grabbing 

migrated migrants migrant 
immigrated immigrants immigrant 

caterpillar larva tadpole 
caterpillars larvae tadpoles 

naturalist anthropologist paleontologist 
naturalists anthropologists palaeontologists 

naturalist botanist anthropologist 
naturalists botanists anthropologists 

naturalist sociologist anthropologist 
naturalists sociologists anthropologists 

naturalist surrealist realist 
naturalism surrealism realism 

naturalist geologist meteorologist 
naturalists geologists meteorologists 

naturalist federalist realist 
naturalism federalism realism 

naturalist minimalist realist 
naturalism minimalism realism 

ceramics textiles porcelain 
mosaics tiles porch 

toilet cleaner sewer 
toilets cleaners sewers 

toilet bucket blanket 
toilets buckets blankets 

toilet blanket socket 
toilets blankets sockets 

contribute contributes controversies 
attribute attributes unreferenced 

realistic realism realist 
